search_id,audit_date,data_family,search_terms_or_strategy,sources_searched,result,qualifying_primary_sources,unresolved_or_negative_finding,next_action
N011,2026-07-23,independent speciation,Raman FTIR in situ MEA species distribution equilibrium,Publisher indexes and primary metadata,"Souchon, Jackson, Wong, Idris candidates identified.",S025–S029,"Calibration standards, covariance, and raw numerical rows not acquired.",Request calibration/data files; reject modeled or balance-labeled calibration targets.
N012,2026-07-23,dielectric/Born,MEA water dielectric relaxation static permittivity broadband 0.05 89 GHz,RSC/publisher metadata and article,Broadband unloaded MEA/water candidate identified.,S031,Static limit appears fit from dispersion; exact SI parameters/covariance missing.,"Acquire SI and spectra; label εs fitted, not direct."
N013,2026-07-23,dielectric/Born,CO2-loaded 30% MEA dielectric microwave 915 2450 MHz conductivity Cole-Cole,Publisher metadata,Loaded microwave paper identified.,S032,No near-DC measurement; raw spectra and fit covariance unavailable.,Acquire data; never relabel microwave ε′ as ε0.
N014,2026-07-23,dielectric/Born,static zero-frequency permittivity CO2-loaded monoethanolamine conductivity low frequency impedance,Publisher and scholarly search,No qualifying source-complete dataset found.,none,True static ε0 with electrode-polarization/conductivity treatment remains a critical gap.,New broadband low-frequency experiment or author data.
N015,2026-07-23,ionic activity,MEAH+ MEACOO- activity coefficient mean activity osmotic coefficient EMF vapor pressure osmometry,"Publisher, NIST, scholarly search","pKa/EMF sources found, but no target-ion activity dataset.",S035–S038 only for protonation equilibrium,No direct individual or mean activity evidence for the target ion pair.,New target-ion electrochemical/osmotic measurements.
N016,2026-07-23,ionic activity,monoethanolammonium carbamate salt osmotic activity analog salts,Scholarly search,Analog electrolyte data may exist.,0 qualifying,Analog salts are off-target and cannot be relabeled as MEAH+/MEACOO− evidence.,Exclude analogs or use only as explicitly weak priors outside qualification.
N017,2026-07-23,physical properties,density viscosity CO2-loaded MEA 20 30 40 wt% ThermoML,NIST ThermoML and publisher metadata,Amundsen and Hartono records identified.,S039–S040,Machine-readable ThermoML is a secondary encoding; article cross-check and hashes pending.,Download both article and ThermoML; compare row-by-row.
N018,2026-07-23,physical properties/byproducts,carbonated MEA degradation products density viscosity HEIA HEEDA oxazolidone,Open repository primary PDF,"Tables 4, 5, 7, 8 located; 189 cells transcribed.",S059,Source file hash unavailable and source-defined alpha formulas need exact text extraction.,Acquire exact repository PDF; hash and add alpha definitions.
N019,2026-07-23,physical gas solubility,N2O solubility MEA; CO2 physical solubility N2O analogy,"Publisher, NIST, scholarly search",Multiple direct N2O and analogy candidates identified.,"S040, S043–S047",No row-level extraction completed; N2O→CO2 values are indirect.,Extract direct N2O rows and measurement equations; keep surrogate classification.
N020,2026-07-23,calorimetry,MEA water excess enthalpy heat absorption differential integral calorimetry,Publisher indexes and scholarly search,"Maham, Mathonat, Kim, Arcis, Carson candidates identified.",S048–S053,No source-complete numerical rows/covariance; one commonly cited DOI appears MDEA-only.,Acquire primary tables; preserve heat definition and sign; reject off-system source.
N021,2026-07-23,pH/electrochemical,equilibrium pH CO2 loaded monoethanolamine temperature loading calibration standards ionic strength,Publisher and scholarly search,Process pH and pKa/EMF candidates found.,"S035–S038, S060",No dataset met all equilibrium and pH metrology requirements.,"New equilibrium pH campaign with stated scale, standards, and uncertainty."
N022,2026-07-23,pure MEA/association,pure MEA vapor pressure density heat capacity ethanolamine association,"Publisher, NIST, scholarly search","Kim pure vapor-pressure rows extracted; Kapteina, DiGuilio, Cp sources identified; dielectric association paper found.","S003, S031, S054–S058",Only 16 pure vapor-pressure rows extracted; density/Cp/association tables and source hashes pending.,Acquire primary tables and separate raw data from fitted equations.
