coverage_id,data_family,required_observable,target_species,parameter_family,candidate_sources,extracted_row_count,directness_status,domain_covered,source_complete_status,training_recommendation,validation_recommendation,leakage_risk,remaining_gap,priority
C13,3 Independent speciation,byproducts during equilibrium,OZD and other products,byproduct reaction/balance,"S022, S023, S059",0,Böttinger reports direct OZD but no rows acquired; S059 physical rows are prepared byproduct mixtures,Böttinger 20 mass % loaded MEA; S059 HEIA/HEEDA/OZD physical mixtures,none source-complete: exact source-file SHA-256 absent,Do not fold byproduct into MEA/carbon balances.,Hold out each byproduct family.,Silent omission or reclassification as MEA.,Quantitative equilibrium byproduct speciation with detection limits.,high
C14,4 Dielectric/Born,true static ε0 of unloaded MEA–H2O,"MEA, H2O",Born dielectric term; association,"S031, S033",0,"broadband/microwave candidate; static limit fitted, not yet source-complete",0.05–89 GHz (S031); 30 mass % microwave candidate,none source-complete: exact source-file SHA-256 absent,Use fitted εs only with fit covariance and frequency model.,Hold out entire spectra/compositions.,Treating ε′(GHz) or fitted εs as direct DC data.,"SI spectra, conductivity, extrapolation equation, covariance.",critical
C15,4 Dielectric/Born,true static ε0 of CO2-loaded MEA,loaded aggregate,Born dielectric term under loading,"S032, S063",0,not found; only microwave dispersion candidate,30 mass %; 915–2450 MHz candidate,none source-complete: exact source-file SHA-256 absent,No static training target.,New low-frequency/broadband experiment.,Microwave-to-static relabeling.,True near-DC loaded data with conductivity/electrode-polarization treatment.,critical
C16,5 Ionic activity,"direct MEAH+/MEACOO− activities, mean activity, osmotic coefficient","MEAH+, MEACOO−",ion–solvent and ion–ion interactions,S061,0,not found,none,none source-complete: exact source-file SHA-256 absent,No target-ion activity training target.,New EMF/osmotic campaign.,Analog salts or model-fitted ionic parameters masquerading as target data.,Direct target-ion evidence.,critical
C17,5 Ionic activity,raw EMF/pKa constraints for MEAH+ protonation,"MEA, MEAH+, H+",protonation equilibrium,S035–S038,0,EMF/potentiometric candidates; derived pKa not direct activity,0–80 °C depending on source,none source-complete: exact source-file SHA-256 absent,Prefer raw EMF/composition rows over fitted pKa correlations.,Hold out whole electrochemical source.,Activity extrapolation and pKa fit reuse.,"Raw tables, standards, cell potentials, uncertainty/covariance.",high
C18,6 Physical/calorimetric,density of loaded/unloaded MEA,aggregate liquid,liquid volume/density,"S039–S042, S059",99,99 direct density cells extracted from S059; broader clean-MEA sources unresolved,0.1 MPa; 298.15–363.15 K; unloaded/loaded and byproduct mixtures,none source-complete: exact source-file SHA-256 absent,Use clean-MEA rows separately from byproduct mixtures.,Hold out full composition/batch/source.,Same stock across temperatures and viscosity; ThermoML duplicates article.,Primary rows from Amundsen/Hartono/Han and exact loading definitions.,high
C19,6 Physical/calorimetric,viscosity,aggregate liquid,transport qualification (not equilibrium fit unless explicitly modeled),"S039–S041, S059",90,90 direct viscosity cells extracted from S059,0.1 MPa; 298.15–353.15 K; clean/byproduct mixtures,none source-complete: exact source-file SHA-256 absent,Qualify transport/property consistency; do not force into equilibrium objective absent model link.,Hold out full sample batches.,Strong batch/temperature correlation.,Primary clean-MEA rows and covariance.,medium
C20,6 Physical/calorimetric,N2O/CO2 physical solubility,N2O; physical CO2,Henry/physical-solubility submodel,"S040, S043–S047",0,direct N2O candidates; CO2 often analogy-derived,various MEA concentrations/T; exact rows pending,none source-complete: exact source-file SHA-256 absent,Train direct N2O only under an explicit surrogate relationship.,Validate direct CO2 physical measurement separately if found.,N2O analogy relabeled as CO2 measurement.,Source-complete direct rows and measurement-chain classification.,high
C21,6 Physical/calorimetric,binary excess enthalpy,"MEA, H2O",neutral cross-association/energy,"S008, S009, S048, S049",0,direct calorimetry candidates,mostly 298.15 K plus 10/25/40 °C sources,none source-complete: exact source-file SHA-256 absent,"Use raw H^E rows only, preserving sign/molar basis.",Hold out one independent calorimetry source.,Fitted Redlich–Kister coefficients duplicate rows.,"Primary tables, calibration, uncertainty/covariance.",high
C22,6 Physical/calorimetric,heat of CO2 absorption/solution,CO2 + aggregate liquid,reaction enthalpy,S051–S053,0,direct calorimetry candidates,298.15 K; 322.5/372.9 K; pressure up to 5 MPa; other campaign ranges pending,none source-complete: exact source-file SHA-256 absent,Keep differential/integral/semi-differential observables separate.,Hold out source/temperature campaign.,Shared cumulative baselines; opposite sign conventions; model-slope estimates.,"Row-level heat definitions, reference states, covariance.",critical
C23,7 pH/electrochemical,equilibrium pH under CO2 loading,"H3O+, OH−; aggregate speciation",electrochemical/speciation validation,"S024, S060, S062",0,no qualifying dataset,none meeting all metrology requirements,none source-complete: exact source-file SHA-256 absent,No pH target.,New equilibrium pH experiment.,"Process monitoring, uncalibrated/inferred pH, undefined scale.","Scale, standards, electrode, ionic-strength treatment, equilibrium proof, uncertainty.",critical
C24,8 Pure MEA/association,pure MEA vapor pressure,MEA,pure neutral segment/dispersion,"S003, S054",16,16 direct rows extracted from S003,84.31–162.46 °C; 2.98–79.95 kPa,none source-complete: exact source-file SHA-256 absent,Use after exact-PDF verification.,Validate against Kapteina or independent data.,Antoine/ΔHvap fit double-counting.,Second source rows/hashes and low/high-temperature extension.,high
C25,8 Pure MEA/association,pure density and aqueous heat capacity,MEA; MEA/H2O,pure volume/Cp and association,S055–S058,0,direct candidates only,temperature/pressure ranges identified at metadata level,none source-complete: exact source-file SHA-256 absent,Await source-complete rows.,Hold out source/property campaign.,Fitted correlations and other amines mixed in tables.,"Primary tables, uncertainty, composition bases.",high
C26,8 Pure MEA/association,spectroscopic association/hydration evidence,MEA clusters/hydration,association scheme/site count/strength qualification,S031,0,dispersion-derived association evidence; no exact SI rows,MEA/water concentration range; 0.05–89 GHz,none source-complete: exact source-file SHA-256 absent,Use as qualitative/secondary association constraint until SI extraction.,"Validate structural assumptions, not fit raw equilibrium constants directly.",Interpretive decomposition and fitted-mode covariance.,"Exact spectra, mode assignment, hydration/aggregate uncertainty.",medium
C27,Byproducts,"density/viscosity with HEIA, HEEDA, OZD explicitly present","HEIA, HEEDA, OZD",separate byproduct physical effects,S059,141,141 direct physical-property cells with an explicit byproduct present; additional S059 baseline/loaded-MEA cells have no byproduct,"298.15–363.15 K, 0.1 MPa, multiple prepared compositions/loadings",none source-complete: exact source-file SHA-256 absent,Use only in an explicit expanded-component model; never as clean MEA data.,Hold out each byproduct family/composition batch.,Prepared degradation products can be confused with in-situ equilibrium concentrations.,Exact alpha definitions/source hash; equilibrium formation/yield data.,high
