rejection_id,source_id_or_candidate,locator_or_quantity,reason_category,reason_detail,permitted_use,status
J021,S032/S033,Microwave ε′ at 915–2450 MHz relabeled as static ε0,frequency misclassification,Microwave response is frequency-dependent and may differ from the zero-frequency limit.,Use frequency-specific complex permittivity only.,rejected
J022,S035/S036/S037/S038,Thermodynamic pKa relabeled as direct MEAH+ activity coefficient,derived equilibrium quantity,EMF/potentiometry constrain protonation equilibrium but do not isolate target-ion activity coefficients.,Use raw EMF or pKa with derivation.,rejected
J023,Analog electrolyte salts,Any analog-salt mean activity/osmotic coefficient,off-target analog,Analog salts are not MEAH+/MEACOO− target-ion evidence.,At most qualitative prior; never direct qualification.,rejected
J024,S039/S040,NIST ThermoML rows treated as an independent experiment,duplicate secondary encoding,ThermoML encodes the journal data; it is not a second dataset.,Machine-readable cross-check only.,rejected
J025,S040/S043/S044/S045/S046/S047,N2O solubility or N2O→CO2 analogy values labeled direct CO2 physical solubility,surrogate/model-derived,"N2O is directly measured, while CO2 physical solubility may be inferred by analogy.",Use direct N2O to constrain a surrogate submodel; classify CO2 estimate as indirect.,rejected
J026,S047,AMP- or MDEA-containing blend rows,off-system,Additional amines are outside the target species list.,"Only exact pure-MEA edge rows, if present.",rejected
J027,S048/S049,Redlich–Kister coefficients and raw excess-enthalpy rows both used as independent targets,double counting,Fit coefficients encode the same raw calorimetry.,Use raw rows; coefficients only as a cross-check.,rejected
J028,S050,MDEA-only heat-of-absorption source treated as MEA data,amine identity mismatch,"The cited DOI/title appears to concern MDEA, not MEA.",None unless primary source demonstrates MEA rows.,rejected
J029,S051/S052/S053,"Differential, semi-differential, integral, and solution enthalpies pooled without definitions",basis/sign conflation,These heat quantities have different derivatives/reference states and may use opposite signs.,Retain each source definition and sign separately.,rejected
J030,S059,"HEIA, HEEDA, or 2-oxazolidone folded into total MEA",silent byproduct omission,Degradation products have distinct mole-fraction columns and affect density/viscosity.,Keep each byproduct as a separate component.,rejected
J031,S059,Unreported table cells interpolated,invented data,Dashes/missing cells are not measurements.,Leave blank.,rejected
J032,S059,Water mole fraction calculated and stored without an explicit source formula,silent conversion,The audit preserves printed x2/x3/x4/x5 fields; no balance value is added.,"Compute only in a separate, documented transformation layer.",rejected
J033,S060,Process-monitoring pH,equilibrium/metrology failure,"Equilibrium, pH scale, standards, ionic-strength handling, and uncertainty were not all demonstrated.",None for equilibrium model qualification.,rejected
J034,Any source,Digitized points from plots where model curves overlap measurements,ambiguous extraction,Cannot prove whether a pixel represents a measurement or prediction.,Use only if authors provide raw data or symbols are unambiguous with error bounds.,rejected
J035,Any source,Abstract-only values,insufficient provenance,"No table, basis, method, or uncertainty can be audited.",Discovery only.,rejected
J036,Any source,Review-only reproduced values,secondary source,"Rounding, rebasing, and transcription cannot be excluded.",Discovery only; trace to primary.,rejected
J037,Any source,Random row-level train/validation split within one apparatus campaign,data leakage,"Rows share stock solutions, calibration, apparatus, and sometimes fitted corrections.","Split by source, lab, apparatus, concentration, or campaign.",rejected
